serie,data,valor,frequencia,unidade
cdi,2021-08-19,0.01993,diaria,% ao dia
cdi,2021-08-20,0.01993,diaria,% ao dia
cdi,2021-08-23,0.01993,diaria,% ao dia
cdi,2021-08-24,0.01993,diaria,% ao dia
cdi,2021-08-25,0.01993,diaria,% ao dia
cdi,2021-08-26,0.01993,diaria,% ao dia
cdi,2021-08-27,0.01993,diaria,% ao dia
cdi,2021-08-30,0.01993,diaria,% ao dia
cdi,2021-08-31,0.01993,diaria,% ao dia
cdi,2021-09-01,0.01993,diaria,% ao dia
cdi,2021-09-02,0.01993,diaria,% ao dia
cdi,2021-09-03,0.01993,diaria,% ao dia
cdi,2021-09-06,0.01993,diaria,% ao dia
cdi,2021-09-08,0.01993,diaria,% ao dia
cdi,2021-09-09,0.01993,diaria,% ao dia
cdi,2021-09-10,0.01993,diaria,% ao dia
cdi,2021-09-13,0.01993,diaria,% ao dia
cdi,2021-09-14,0.01993,diaria,% ao dia
cdi,2021-09-15,0.01993,diaria,% ao dia
cdi,2021-09-16,0.01993,diaria,% ao dia
cdi,2021-09-17,0.01993,diaria,% ao dia
cdi,2021-09-20,0.01993,diaria,% ao dia
cdi,2021-09-21,0.01993,diaria,% ao dia
cdi,2021-09-22,0.01993,diaria,% ao dia
cdi,2021-09-23,0.023687,diaria,% ao dia
cdi,2021-09-24,0.023687,diaria,% ao dia
cdi,2021-09-27,0.023687,diaria,% ao dia
cdi,2021-09-28,0.023687,diaria,% ao dia
cdi,2021-09-29,0.023687,diaria,% ao dia
cdi,2021-09-30,0.023687,diaria,% ao dia
cdi,2021-10-01,0.023687,diaria,% ao dia
cdi,2021-10-04,0.023687,diaria,% ao dia
cdi,2021-10-05,0.023687,diaria,% ao dia
cdi,2021-10-06,0.023687,diaria,% ao dia
cdi,2021-10-07,0.023687,diaria,% ao dia
cdi,2021-10-08,0.023687,diaria,% ao dia
cdi,2021-10-11,0.023687,diaria,% ao dia
cdi,2021-10-13,0.023687,diaria,% ao dia
cdi,2021-10-14,0.023687,diaria,% ao dia
cdi,2021-10-15,0.023687,diaria,% ao dia
cdi,2021-10-18,0.023687,diaria,% ao dia
cdi,2021-10-19,0.023687,diaria,% ao dia
cdi,2021-10-20,0.023687,diaria,% ao dia
cdi,2021-10-21,0.023687,diaria,% ao dia
cdi,2021-10-22,0.023687,diaria,% ao dia
cdi,2021-10-25,0.023687,diaria,% ao dia
cdi,2021-10-26,0.023687,diaria,% ao dia
cdi,2021-10-27,0.023687,diaria,% ao dia
cdi,2021-10-28,0.029256,diaria,% ao dia
cdi,2021-10-29,0.029256,diaria,% ao dia
cdi,2021-11-01,0.029256,diaria,% ao dia
cdi,2021-11-03,0.029256,diaria,% ao dia
cdi,2021-11-04,0.029256,diaria,% ao dia
cdi,2021-11-05,0.029256,diaria,% ao dia
cdi,2021-11-08,0.029256,diaria,% ao dia
cdi,2021-11-09,0.029256,diaria,% ao dia
cdi,2021-11-10,0.029256,diaria,% ao dia
cdi,2021-11-11,0.029256,diaria,% ao dia
cdi,2021-11-12,0.029256,diaria,% ao dia
cdi,2021-11-16,0.029256,diaria,% ao dia
cdi,2021-11-17,0.029256,diaria,% ao dia
cdi,2021-11-18,0.029256,diaria,% ao dia
cdi,2021-11-19,0.029256,diaria,% ao dia
cdi,2021-11-22,0.029256,diaria,% ao dia
cdi,2021-11-23,0.029256,diaria,% ao dia
cdi,2021-11-24,0.029256,diaria,% ao dia
cdi,2021-11-25,0.029256,diaria,% ao dia
cdi,2021-11-26,0.029256,diaria,% ao dia
cdi,2021-11-29,0.029256,diaria,% ao dia
cdi,2021-11-30,0.029256,diaria,% ao dia
cdi,2021-12-01,0.029256,diaria,% ao dia
cdi,2021-12-02,0.029256,diaria,% ao dia
cdi,2021-12-03,0.029256,diaria,% ao dia
cdi,2021-12-06,0.029256,diaria,% ao dia
cdi,2021-12-07,0.029256,diaria,% ao dia
cdi,2021-12-08,0.029256,diaria,% ao dia
cdi,2021-12-09,0.034749,diaria,% ao dia
cdi,2021-12-10,0.034749,diaria,% ao dia
cdi,2021-12-13,0.034749,diaria,% ao dia
cdi,2021-12-14,0.034749,diaria,% ao dia
cdi,2021-12-15,0.034749,diaria,% ao dia
cdi,2021-12-16,0.034749,diaria,% ao dia
cdi,2021-12-17,0.034749,diaria,% ao dia
